bilet	vopros	order_number	user_count	correct
1	17	13	280	258
1	17	14	228	217
1	17	15	187	183
1	18	1	25576	20101
1	18	2	8310	7822
1	18	3	4323	4125
1	18	4	2722	2636
1	18	5	1828	1765
1	18	6	1294	1267
1	18	7	918	894
1	18	8	689	677
1	18	9	537	524
1	18	10	404	396
1	18	11	331	328
1	18	12	262	252
1	18	13	212	206
1	18	14	172	169
1	18	15	136	133
1	19	1	25344	21947
1	19	2	8250	7807
1	19	3	4290	4119
1	19	4	2672	2580
1	19	5	1772	1722
1	19	6	1253	1222
1	19	7	894	859
1	19	8	658	648
1	19	9	524	508
1	19	10	402	392
1	19	11	327	320
1	19	12	264	256
1	19	13	217	212
1	19	14	175	170
1	19	15	136	135
1	20	1	25248	22246
1	20	2	8333	7189
1	20	3	4307	3861
1	20	4	2667	2424
1	20	5	1766	1623
1	20	6	1264	1170
1	20	7	888	823
1	20	8	655	586
1	20	9	518	478
1	20	10	401	384
1	20	11	324	298
1	20	12	262	243
1	20	13	217	190
1	20	14	179	171
1	20	15	138	131
2	1	1	25305	24048
2	1	2	11125	11009
2	1	3	6571	6517
2	1	4	4481	4453
2	1	5	3221	3203
2	1	6	2452	2438
2	1	7	1886	1875
2	1	8	1462	1447
2	1	9	1170	1162
2	1	10	932	929
2	1	11	742	735
2	1	12	618	617
2	1	13	502	494
2	1	14	409	407
2	1	15	339	337
2	2	1	25983	22875
2	2	2	9833	9446
2	2	3	5905	5738
2	2	4	4036	3959
2	2	5	2888	2820
2	2	6	2171	2128
2	2	7	1671	1637
2	2	8	1290	1261
2	2	9	1035	1023
2	2	10	828	819
2	2	11	684	673
2	2	12	561	551
2	2	13	449	444
2	2	14	368	362
2	2	15	293	288
2	3	1	25709	19944
2	3	2	9756	8856
2	3	3	5902	5465
2	3	4	4103	3843
2	3	5	2956	2770
2	3	6	2232	2118
2	3	7	1721	1632
2	3	8	1339	1278
2	3	9	1053	995
2	3	10	854	805
2	3	11	698	667
2	3	12	565	537
2	3	13	454	427
2	3	14	366	349
2	3	15	299	282
2	4	1	25402	18520
2	4	2	9680	8538
2	4	3	5857	5392
2	4	4	4034	3786
2	4	5	2891	2701
2	4	6	2174	2047
2	4	7	1656	1574
2	4	8	1295	1242
2	4	9	1032	990
2	4	10	848	811
2	4	11	684	655
2	4	12	549	527
